URL,Title,English Title,Lyrics
https://genius.com/Dpr-ian-no-blueberries-lyrics,No Blueberries,,"[Chorus: DPR IAN & 
CL
]
I like no blueberries in my ice cream cake
No air to breathe with that masking tape
Stop, please
I need a hostage free
I need a rocket ship
I need to run from (Wait!)
I like no blueberries in my ice cream cake (In my cake)
No air to breathe with that masking tape
Stop, please
I need a hostage free
I need a rocket ship
I need to run from
 (From you)
I'm just kind of lost
 (I fall from you)
I've been looking down a lot
 (I fall from you)
I'm fallin' way too soft
 (I fall from you)
Now tell me when to stop
[Verse 1: DPR IAN]
Oh, no, here we go again to this beat (Prrrah!)
Oh, oh, tell me why you want to be so sweet
Tell me what's in your еyes, baby
Red, green, or blue?
(Wеlcome to the other side)
I keep losing my temper for you
I love it, how you think I'm always this cool (Prrrah!)
Excusez-Moi, I think I'm just a fool
Afraid of what's in your eyes, baby
Red, green, or blue?
(Welcome to the other side)"
https://genius.com/Dpr-ian-nerves-lyrics,Nerves,,"[Verse 1]
Hey girl, I heard you're leaving town
Hey girl, it might not matter now
Hey girl, maybe it worked somehow
That’s what I tell myself
When you lie down tonight
So many times I could've held on
I still can't believe I left you alone
It tore me down to pieces, she’ll never know
How much I wished I'd never let you go
[Refrain]
Hi, how you doing?
I heard you seem to be happy now
Hi, how you doing?
Don't worry 'bout me 'cause I'm doing fine
[Verse 2]
So you came around my house (Ooh-ooh)
And you left your marks with your fingertips
I'm sitting where you sat down (Ooh-ooh)
And now he's looking for something meaningless
[Chorus]
I’m getting, getting little nervous (Nervous)
I’m getting, getting to the surface (Surface)
I'm getting, getting little nervous (Nervous)
I’m getting, getting to the surface (Surface)"
https://genius.com/Dpr-ian-so-beautiful-lyrics,So Beautiful,,"[Verse 1]
I think I've got my sight for you
I don't mean to let it brew
I thought I thought it through
Now come on, you know I just get confused
[Chorus]
Come get your funky love story
I love it when the skies can't sleep
I left a message encased in me
So bye-bye (So bye-bye)
A flawless ending
So beautiful
[Post-Chorus]
You're so
You're so
[Verse 2]
Let's take a trip down a dark place, baby
Look for me now, I'm not that crazy
Let's talk about what makes you happy
'Cause I know (I know)
I'm calling for you
[Chorus]
Come get your funky love story
I love it when the skiеs can't sleep
I left a message еncased in me
So bye-bye (So bye-bye)
A flawless ending
So beautiful"
https://genius.com/Dpr-live-kiss-me-lyrics,KISS ME,,"[Verse 1]
Let's listen to the stars
We just traveled through Mars
The universe is ours
But you're my favorite part
Let's listen to the stars
We just traveled through Mars
The universe is ours
But you're my favorite part
Oh, oh, oh, oh
[Chorus]
Explain yourself, girl, why so cruel?
The way you kiss it, oh so rude
You got me up from dark till noon
Don't take my breath away too soon
My girl, yeah
You buzz me through my light-years, yeah
Oh, oh, oh, oh
Explain yourself girl, why so cruel?
The way you kiss it, oh so rude
You got me up from dark till noon
Don't take my breath away too soon
My girl, yeah
I gotta let you know, you oughta know
You buzz me through my light-years, yeah
'Cause you don't know, I gotta let you know"
https://genius.com/Dpr-ian-scaredy-cat-lyrics,Scaredy Cat,,"[Verse 1]
I think I'm scared of all the signs
Don't ever leave me alone at night
I think I'm scared (I think I'm scared)
I don't know why (I don't know why)
Just leave the lights on and close the blinds
[Chorus]
(Because) I'm a scaredy cat
(Please) No more heart attacks
('Cause) I'm a scaredy cat
(Please) No more heart attacks
[Verse 2]
I think I'm scared, I have no time (He has no time)
I scream out loud just to see if I'm alive
I think I'm scared, I don't know why (I don't know why)
So leave the lights on, I'll stay inside
[Chorus]
(Because) I'm a scarеdy cat
(Please) No more hеart attacks
('Cause) I'm a scaredy cat
(Please) No more heart attacks
[Verse 3]
Dial 911, I'm calling from under my bed (Under my bed)
It's hard to breathe when you're not there (You're not there)
I find everything a nightmare (A nightmare)
Sometimes I know you don't care"
https://genius.com/Dpr-ian-dope-lovers-lyrics,Dope Lovers,,"[Chorus]
You're smiling, I’m sorry
She's vibin', no compass
When I live, you’re dying
When I'm falling, you fall in
You're smiling, I'm sorry
She's vibin', no compass
When I live, you're dying
When I'm falling, you fall in
[Verse 1]
A dope lover, you’d say
No number, I like your face
I’m just here for two
Lying next to you
So gone to the point I can't believe
This was all from a kiss
You stayed for this
You stayed for this
You’d live for this
'Cause I just need you now
[Chorus]
You're smiling, I'm sorry
She’s vibin', no compass
When I live, you're dying
When I'm falling, you fall in
You're smiling, I'm sorry
She's vibin', no compass
When I live, you're dying
When I'm falling, you fall in"
https://genius.com/Dpr-ian-ballroom-extravaganza-lyrics,Ballroom Extravaganza,,"[Verse 1]
The crowd has come to a halt
The birds won't sing for you anymore (Shh)
Not like before
[Pre-Chorus]
When the trees are all burning
All the stars will keep on turning
And I know I won't stop searching
For the moment when the world
[Chorus]
Stopped for you
It stopped for you
Then the world came crashing down
And it's pulling you in now
[Verse 2]
You know all the words to the play
But all I wanted was you to stay
Your time is running thin
'Cause I'm falling through the cracks under your floor
[Pre-Chorus]
How does it feel to be alive again?
Stop holding on with your dear breath
You're one step closer to me"
https://genius.com/Dpr-ian-welcome-to-the-show-lyrics,Welcome To The Show,,"[Verse 1]
Just stay for the show
No candle lights to take you home
You tried bringing out the sunny times
You're not really good at telling lies
So sick of keeping it all in
[Chorus]
I just want you to close all the doors
Just leave me alone
I tried to hide it
I'm scared of what's next
I still don't know where to go
But welcome to the show
Ooh-ooh-ooh-ooh
[Verse 2]
So turn down the lights
They'll see you now
(Go) Your head is high
So don't look so down
I know you feel the same
I tell myself to let go of the pain
So sick of keeping it all in
[Chorus]
I just want you to close all the doors
Just leave me alone
I tried to hide it
I'm scared of what’s next
I still don't know where to go
But welcome to the show
You're welcome to the show"
https://genius.com/Dpr-ian-peanut-butter-and-tears-lyrics,Peanut Butter & Tears,,"[Intro]
Sunday morning karaoke
Forgot my bills on the stove
I left home so long ago
[Chorus]
That my tooth's been wigglin' for years
My peanut butter and your tears
Oh, why the sad face, dear?
I can't control all of my fears
[Verse 1]
It's 5AM and I have to go (Go, go)
The wind is tearin' up my eyes (We know, we know)
Friends tell me I look so dead (Dead)
I think they're seein' through my disguise (They know, they know)
[Pre-Chorus]
Where I've been
I get so friendly with strangers (Ooh, yeah)
The way I've been
I get so lost in my color
It took me some time
[Chorus]
That my tooth's been wigglin' for years
My peanut butter and your tears
Oh, why the sad face, dear?
I can't control all of my fears (Ooh, yeah)"
https://genius.com/Dpr-ian-mood-lyrics,Mood,,"[Intro]
MITO
[Chorus]
Color in my moods (My moods), no blues (Blues)
Your violets on horizons
Forgot my screws (My screws), my booze (Shh)
My love brings all the lions
I don't assume that you knew (Hey)
That I miss you when it's quiet
Oh, it's true, I want you (It's getting dark)
To tell me if I'm lying
[Pre-Chorus]
Oh, I just came back from the moon
Found the lightning coming from your 눈
Violins holding onto your tune
My moods are swinging for you
Oh, I just came back from the moon
Found myself looking right at you
Violins playing into your tune
My moods are swinging for you
[Chorus]
Color in my moods, no blues
Your violets on horizons
Forgot my screws (Hey) and my booze (Ooh-ooh)
My love brings all the lions
Honey, don't assume that you knew
That I miss you when it's quiet
Oh, it's true, I want you
To tell me if I'm lying"
